HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000024	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
HMDB0000026	NA
